Calibration config:
trend_soft=2 | setup_soft=6 | entry_soft=5 | entry_max_extension=1.6
symbols_count=379
filtered_symbols_file=data/filtered_symbols.txt
dynamic_symbols_file=data/dynamic_symbols.txt | min_stage=setup

SYMBOL         | 12H      | 4H        | 4H_STATE                 | 1H    | 1H_STATE                 | EXT_ATR | VOL_R | RR   | RISK%
---------------+----------+-----------+--------------------------+-------+--------------------------+---------+-------+------+------
BTCUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ETHUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XRPUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BNBUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
USDCUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SOLUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TRXUSDT        | PASS 4/4 | PASS 7/10 | reclaim_in_progress      | ENTER | trigger_ready            | 0.213   | 1.044 | 2.0  | 0.567
STETHUSDT      | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DOGEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HYPEUSDT       | PASS 4/4 | FAIL 4/10 | healthy_pullback         | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ADAUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BCHUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WBTCUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
LINKUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
USDEUSDT       | FAIL 4/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CCUSDT         | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XLMUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DAIUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
USD1USDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
LTCUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
AVAXUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PYUSDUSDT      | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HBARUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SUIUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SHIBUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TONUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WLFIUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XAUTUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DOTUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MNTUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
UNIUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
AAVEUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ASTERUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SKYUSDT        | PASS 2/4 | FAIL 6/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
NEARUSDT       | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HTXUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
RLUSDUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PEPEUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ICPUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ETCUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ONDOUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
USDDUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
KCSUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
POLUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
UUSDT          | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
KASUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
QNTUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WLDUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ATOMUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
RENDERUSDT     | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ENAUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
APTUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ALGOUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TRUMPUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
NIGHTUSDT      | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MORPHOUSDT     | PASS 2/4 | FAIL 4/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FLRUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FILUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XDCUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZROUSDT        | PASS 3/4 | FAIL 3/10 | healthy_pullback         | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PUMPUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
VETUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ARBUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
NEXOUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
JUPUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
STABLEUSDT     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BONKUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
JSTUSDT        | PASS 3/4 | PASS 6/10 | healthy_pullback         | SKIP  | no_reclaim               | -0.878  | 0.186 | None | None 
FETUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TUSDUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ETHFIUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CAKEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
VIRTUALUSDT    | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PENGUUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
STXUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XTZUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SEIUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CHZUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CRVUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SUNUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BTTUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
NFTUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
KAIAUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
IMXUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
INJUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TIAUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
AEROUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SPXUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FLOKIUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
GRTUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
JASMYUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FRAXUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
LITUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
2ZUSDT         | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
VVVUSDT        | PASS 3/4 | FAIL 4/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
IPUSDT         | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
OPUSDT         | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
LDOUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PYTHUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HUSDT          | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ENSUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SANDUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MONUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HNTUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
USDTBUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TWTUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
LUNCUSDT       | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PENDLEUSDT     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
STRKUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
AXSUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
COMPUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FLUIDUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WALUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WIFUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZKUSDT         | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MANAUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
THETAUSDT      | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
XPLUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FFUSDT         | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MXUSDT         | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
GALAUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DEEPUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
RUNEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SENTUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BATUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ATHUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
JTOUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
1INCHUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
AUSDT          | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
EIGENUSDT      | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BERAUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SUSDT          | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SOSOUSDT       | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
EGLDUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BARDUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CRCLXUSDT      | PASS 4/4 | FAIL 5/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SKRUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
0GUSDT         | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BBSOLUSDT      | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ARUSDT         | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SNXUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
PIEVERSEUSDT   | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZENUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
YFIUSDT        | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
WUSDT          | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FTTUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BEAMUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
GRASSUSDT      | PASS 4/4 | FAIL 5/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
QTUMUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
RVNUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
KMNOUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ICNTUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ROSEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TOSHIUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZRXUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CTCUSDT        | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
TSLAXUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
COREUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
CFGUSDT        | PASS 4/4 | PASS 6/10 | healthy_pullback         | SKIP  | no_reclaim               | -1.281  | 0.717 | None | None 
